"","state_code","county_code","pct_white_apps","pct_black_apps","pct_hisp_apps","pct_asian_apps","white_denial_rate","black_denial_rate","hisp_denial_rate","asian_denial_rate","denial_rate","loan_failed","total_loans"
"1","AK","02013",50,0,0,0,NA,NA,NA,NA,NA,0,2
"2","AK","02016",73.33,0,6.67,13.33,NA,NA,NA,NA,NA,2,15
"3","AK","02020",71.84,3.13,7.34,8.11,3.55,5.14,4.38,5.45,4.05,403,9947
"4","AK","02050",42.2,1.83,1.83,1.83,10.87,0,0,0,9.17,10,109
"5","AK","02060",60,0,6.67,0,NA,NA,NA,NA,NA,3,15
"6","AK","02068",90.62,0,0,0,NA,NA,NA,NA,NA,2,32
"7","AK","02070",50,0,0,0,NA,NA,NA,NA,NA,4,40
"8","AK","02090",80.28,3.22,7.05,2.97,4.73,5.13,9.36,5.56,4.95,120,2424
"9","AK","02100",92.68,0,2.44,0,NA,NA,NA,NA,NA,4,41
"10","AK","02105",73.33,6.67,0,0,NA,NA,NA,NA,NA,4,15
"11","AK","02110",77.81,0.69,4.8,5.66,5.95,0,5.36,10.61,6.68,78,1167
"12","AK","02122",87.75,0.32,2.98,1.4,3.69,20,10.64,9.09,4.13,65,1575
"13","AK","02130",76.78,0.47,1.9,5.69,13.58,0,0,16.67,12.32,26,211
"14","AK","02150",72.06,1.1,5.15,11.4,3.06,33.33,0,6.45,4.78,13,272
"15","AK","02164",66.67,0,0,0,NA,NA,NA,NA,NA,0,3
"16","AK","02170",84.2,1.56,4.82,1.5,4.54,8,6.47,2.78,4.72,227,4810
"17","AK","02180",51.09,0,3.26,1.09,NA,NA,NA,NA,NA,9,92
"18","AK","02185",14.29,4.08,0,14.29,NA,NA,NA,NA,NA,20,49
"19","AK","02188",37.5,0,0,6.25,NA,NA,NA,NA,NA,5,32
"20","AK","02195",86.36,0,0,0,NA,NA,NA,NA,NA,5,44
"21","AK","02198",56.1,0,2.44,2.44,NA,NA,NA,NA,NA,7,41
"22","AK","02220",81.82,0,4.96,4.13,10.1,NA,0,40,11.57,14,121
"23","AK","02230",89.47,0,0,5.26,NA,NA,NA,NA,NA,1,19
"24","AK","02240",68.51,2.21,23.2,0.55,8.87,0,9.52,0,8.29,15,181
"25","AK","02261",86.7,0,2.66,1.6,7.98,NA,0,0,7.45,14,188
"26","AK","02275",81.82,0,4.55,0,NA,NA,NA,NA,NA,1,22
"27","AK","02282",0,50,50,0,NA,NA,NA,NA,NA,0,2
"28","AK","02290",38.46,0,0,0,NA,NA,NA,NA,NA,3,13
"29","AK",NA,70,0,0,0,NA,NA,NA,NA,NA,6,10
"30","AL","01001",74.35,19.51,3.62,2.05,6.34,14.15,11.84,6.98,8.14,171,2101
"31","AL","01003",91.51,3.76,3,0.88,9.03,23.26,14.89,17.58,9.88,1018,10302
"32","AL","01005",74.37,20.94,3.61,0.36,13.59,48.28,30,0,21.3,59,277
"33","AL","01007",89.32,9.11,0.78,0,20.12,48.57,33.33,NA,23.18,89,384
"34","AL","01009",93.52,2.21,3.61,0.29,13.06,33.33,26.53,25,14.05,191,1359
"35","AL","01011",18.46,78.46,1.54,1.54,NA,NA,NA,NA,NA,36,65
"36","AL","01013",69.23,26.5,2.14,1.71,20.99,45.16,40,0,27.35,64,234
"37","AL","01015",81.5,14,3.2,0.77,11.76,14.53,12.12,6.25,12.15,251,2065
"38","AL","01017",71.68,25.06,2.26,0.25,19.58,32,44.44,0,23.81,95,399
"39","AL","01019",97.03,1.37,1.14,0,18.16,33.33,20,NA,18.31,80,437
"40","AL","01021",90.84,6.26,2.15,0.28,17.18,29.85,34.78,0,18.22,195,1070
"41","AL","01023",64.81,34.57,0,0,32.38,66.07,NA,NA,43.83,71,162
"42","AL","01025",61.92,36.75,0,0,12.95,48.48,NA,NA,26.28,118,449
"43","AL","01027",82.46,15.2,2.34,0,25.53,34.62,25,NA,26.9,46,171
"44","AL","01029",96.79,1.61,1.61,0,24.07,25,50,NA,24.5,61,249
"45","AL","01031",79.01,10.34,7.43,2.13,7.76,12.06,7.69,4.88,8.1,156,1925
"46","AL","01033",87.67,8.99,2.23,0.88,7.44,14.16,10.71,9.09,8.19,103,1257
"47","AL","01035",69.81,24.53,1.89,0.94,31.08,57.69,50,0,36.79,39,106
"48","AL","01037",77.99,20.13,1.26,0,16.13,40.62,100,NA,22.64,36,159
"49","AL","01039",93.33,4.31,1.37,0.2,16.39,45.45,0,0,17.25,88,510
"50","AL","01041",74.87,22.51,1.57,1.05,17.48,67.44,66.67,0,29.32,56,191
"51","AL","01043",95.62,1.28,2,0.39,14.27,21.74,25,14.29,14.59,263,1803
"52","AL","01045",80.56,12.69,5.24,0.81,13.58,18.35,13.33,0,14.2,122,859
"53","AL","01047",47.55,50.7,1.4,0.35,13.97,35.86,25,0,25.17,72,286
"54","AL","01049",91.72,1.87,4.43,0.47,15.01,18.75,15.79,50,15.52,133,857
"55","AL","01051",81.59,15.15,1.81,0.96,6.9,21.76,12.24,3.85,9.26,250,2700
"56","AL","01053",75.36,16.82,2.37,0.71,14.78,33.8,20,0,18.01,76,422
"57","AL","01055",89.97,6.71,2.31,0.43,10.67,13.6,16.28,0,10.94,204,1864
"58","AL","01057",95.63,4.37,0,0,21,30,NA,NA,21.4,49,229
"59","AL","01059",89.08,2.87,7.76,0,15.16,10,14.81,NA,15.23,53,348
"60","AL","01061",91,5.66,1.54,0,21.19,45.45,16.67,NA,22.62,88,389
"61","AL","01063",35.94,64.06,0,0,NA,NA,NA,NA,NA,21,64
"62","AL","01065",54.27,44.02,1.71,0,12.6,33.98,75,NA,23.08,54,234
"63","AL","01067",87.31,10.5,1.53,0.22,11.78,22.92,57.14,0,13.57,62,457
"64","AL","01069",83.38,11.28,3.29,1.53,7.08,15.56,10.23,12.2,8.22,220,2677
"65","AL","01071",92.94,2.95,2.18,0.26,13.81,17.39,23.53,0,14.76,115,779
"66","AL","01073",73.3,21.14,2.67,2.53,4.7,12.69,9.45,7.42,6.61,1127,17038
"67","AL","01075",92.44,5.88,0.84,0,22.73,42.86,100,NA,25.21,30,119
"68","AL","01077",93.06,3.7,2.08,0.61,7.19,13.7,7.32,0,7.45,147,1973
"69","AL","01079",88.75,3.87,3.34,0,15.64,45.45,31.58,NA,18.1,103,569
"70","AL","01081",76.92,13.21,3.15,6.11,6.03,21.77,12.35,3.95,8.28,446,5389
"71","AL","01083",80.13,12.45,3.75,2.88,4.98,9.42,10.23,5.19,5.74,269,4690
"72","AL","01085",55.2,42.4,1.6,0,17.39,60.38,0,NA,36,45,125
"73","AL","01087",29.78,64.61,3.37,2.25,26.42,46.96,33.33,0,39.33,70,178
"74","AL","01089",78.47,14.24,3.84,2.66,3.96,9.6,6.54,4.25,4.92,785,15951
"75","AL","01091",56.99,39.34,2.94,0.37,10.97,42.99,25,0,23.9,65,272
"76","AL","01093",95.47,1.21,2.11,0.6,20.25,0,28.57,100,20.85,69,331
"77","AL","01095",93.61,1.13,3.81,0.38,11.02,23.81,16.9,0,11.39,212,1862
"78","AL","01097",75.05,18.85,2.99,2.12,8.04,17.74,12.64,13.61,10.36,933,9003
"79","AL","01099",68.18,27.73,2.73,0,12,42.62,33.33,NA,20.91,46,220
"80","AL","01101",50.87,39.55,2.51,6.3,4.21,13.5,7.34,4.74,8.03,349,4346
"81","AL","01103",87.97,6.89,3.66,0.71,8.33,13.17,10.09,14.29,8.87,264,2976
"82","AL","01105",45.45,53.25,1.3,0,NA,NA,NA,NA,NA,28,77
"83","AL","01107",75.83,23.22,0.95,0,15,44.9,0,NA,21.8,46,211
"84","AL","01109",77.78,17.33,1.51,2.64,12.35,42.39,25,0,17.7,94,531
"85","AL","01111",88.83,9.47,1.46,0,17.49,20.51,16.67,NA,17.72,73,412
"86","AL","01113",57.62,31.91,8.13,1.24,7.3,12.96,7.63,0,8.96,130,1451
"87","AL","01115",84.34,12.75,1.89,0.73,9.57,12.83,11.94,11.54,10.04,356,3545
"88","AL","01117",80.36,13.72,3.2,2.35,5,12.53,9.85,4.47,6.21,650,10470
"89","AL","01119",39.39,58.59,2.02,0,NA,NA,NA,NA,NA,40,99
"90","AL","01121",77.68,19.65,1.76,0.63,16.95,30.47,20,0,19.65,279,1420
"91","AL","01123",91.35,6.73,1.1,0.55,16.39,48.98,50,0,19.09,139,728
"92","AL","01125",74.87,21.38,2.07,1.32,6.61,14.45,13.51,4.23,8.43,453,5375
"93","AL","01127",93.78,3.94,1.18,0.63,20.4,34,40,12.5,21.26,270,1270
"94","AL","01129",77.57,16.35,1.52,0,25.98,55.81,25,NA,30.42,80,263
"95","AL","01131",40.2,57.84,1.96,0,9.76,66.1,100,NA,44.12,45,102
"96","AL","01133",97.57,0.54,0.54,0,16.57,50,0,NA,16.71,62,371
"97","AL","05059",100,0,0,0,NA,NA,NA,NA,NA,0,1
"98","AL","13253",0,100,0,0,NA,NA,NA,NA,NA,0,1
"99","AL","21191",0,100,0,0,NA,NA,NA,NA,NA,1,1
"100","AL","28057",100,0,0,0,NA,NA,NA,NA,NA,0,1
"101","AL","28101",100,0,0,0,NA,NA,NA,NA,NA,1,1
"102","AL","32031",100,0,0,0,NA,NA,NA,NA,NA,0,1
"103","AL","47009",100,0,0,0,NA,NA,NA,NA,NA,0,1
"104","AL","47125",100,0,0,0,NA,NA,NA,NA,NA,0,1
"105","AL",NA,71.61,23.95,2.85,0.41,61.59,80.45,79.17,28.57,66.75,1126,1687
"106","AR","05001",82.35,13.9,2.67,1.07,20.78,38.46,20,0,22.99,43,187
"107","AR","05003",79.26,14.07,6.67,0,23.83,36.84,22.22,NA,25.56,69,270
"108","AR","05005",97.97,0.36,0.48,0,7.3,66.67,0,NA,8.1,68,839
"109","AR","05007",78.95,2.05,10.05,7.18,5.55,12.6,8.2,5.79,6.04,726,12012
"110","AR","05009",97.39,0.29,1.45,0.29,11.01,0,20,0,11.01,76,690
"111","AR","05011",72.81,21.93,5.26,0,30.12,60,33.33,NA,36.84,42,114
"112","AR","05013",88.35,8.74,2.91,0,29.67,22.22,33.33,NA,29.13,30,103
"113","AR","05015",89.68,0.57,8.02,1.15,11.5,0,14.29,0,11.46,40,349
"114","AR","05017",53.93,40.45,4.49,0,NA,NA,NA,NA,NA,26,89
"115","AR","05019",83.43,12.95,2.71,0.3,28.88,27.91,0,0,28.01,93,332
"116","AR","05021",95.45,0,3.03,0,19.05,NA,0,NA,18.18,24,132
"117","AR","05023",98.09,0.17,0.69,0.17,16.99,0,25,0,17.01,98,576
"118","AR","05025",91.04,6.72,2.24,0,29.51,22.22,0,NA,28.36,38,134
"119","AR","05027",72.58,22.44,4.43,0.28,19.85,51.85,12.5,0,26.59,96,361
"120","AR","05029",85.09,10.28,2.57,1.03,24.47,30,20,0,25.19,98,389
"121","AR","05031",87.83,6.46,3.28,2,6.22,11.05,11.96,3.57,6.68,187,2801
"122","AR","05033",90.38,1.54,4.69,0.89,12.61,26.32,13.79,9.09,13.34,165,1237
"123","AR","05035",64.17,33.08,2,0.62,6.42,18.11,12.5,0,10.36,83,801
"124","AR","05037",87.46,9.15,2.37,0.68,12.02,33.33,0,0,13.56,40,295
"125","AR","05039",60,36.36,3.64,0,NA,NA,NA,NA,NA,22,55
"126","AR","05041",53.75,38.75,7.5,0,NA,NA,NA,NA,NA,26,80
"127","AR","05043",73.82,18.91,5.09,1.82,22.66,42.31,14.29,20,25.82,71,275
"128","AR","05045",89.81,5.72,2.8,0.98,7.75,19.44,15.09,5.41,8.6,325,3779
"129","AR","05047",95.99,0,2.34,0.33,17.77,NA,42.86,0,18.06,54,299
"130","AR","05049",98.85,0,0,0,17.44,NA,NA,NA,17.24,30,174
"131","AR","05051",91.93,3.42,3.2,0.68,13.57,27.5,18.67,6.25,14.22,333,2341
"132","AR","05053",94.51,3.19,1.59,0.53,17.42,33.33,44.44,33.33,18.41,104,565
"133","AR","05055",95.77,1.11,2.82,0,9.25,18.18,17.86,NA,9.57,95,993
"134","AR","05057",67.69,18.85,13.46,0,22.73,48.98,20,NA,27.31,71,260
"135","AR","05059",90.49,4.18,2.88,0.72,27.71,34.48,40,80,29.11,202,694
"136","AR","05061",81.29,12.28,5.85,0,15.83,33.33,40,NA,19.3,33,171
"137","AR","05063",94.33,1.1,2.52,1.1,14.19,14.29,0,0,13.54,86,635
"138","AR","05065",98.41,0,1.59,0,19.35,NA,33.33,NA,19.58,37,189
"139","AR","05067",87.65,6.17,4.32,0.62,18.31,30,57.14,0,20.99,34,162
"140","AR","05069",58.19,37.34,2.59,1.53,20.85,17.67,22.73,15.38,19.67,167,849
"141","AR","05071",90.39,1.04,5.97,2.34,15.8,25,17.39,33.33,16.36,63,385
"142","AR","05073",66.22,29.73,2.7,0,NA,NA,NA,NA,NA,34,74
"143","AR","05075",97.88,0,1.59,0.53,23.24,NA,0,100,23.28,44,189
"144","AR","05077",44.44,47.22,8.33,0,NA,NA,NA,NA,NA,15,36
"145","AR","05079",75.76,20,3.03,1.21,24,51.52,20,0,29.09,48,165
"146","AR","05081",83.26,12.13,2.51,0,18.09,44.83,16.67,NA,21.34,51,239
"147","AR","05083",95.97,0.37,1.83,1.47,18.32,0,40,25,18.68,51,273
"148","AR","05085",89.47,4.03,4.65,1.2,8.07,25.23,11.72,15.15,9,248,2755
"149","AR","05087",90.44,0,5.58,0.8,18.06,NA,14.29,0,17.93,45,251
"150","AR","05089",99.58,0,0.42,0,19.67,NA,0,NA,19.58,47,240
"151","AR","05091",84.45,12.38,2.24,0.53,19.81,14.89,11.76,0,18.84,143,759
"152","AR","05093",83.24,12.52,3.5,0.18,13.94,27.94,5.26,0,15.29,83,543
"153","AR","05095",56.36,40,3.64,0,NA,NA,NA,NA,NA,23,55
"154","AR","05097",96.06,0,2.36,1.57,31.15,NA,33.33,50,31.5,40,127
"155","AR","05099",69.39,22.45,6.12,2.04,NA,NA,NA,NA,NA,36,98
"156","AR","05101",93.55,0,3.23,0,NA,NA,NA,NA,NA,10,62
"157","AR","05103",69.54,24.46,3.84,1.68,23.1,37.25,12.5,14.29,25.9,108,417
"158","AR","05105",92.57,4,1.71,0,25.31,57.14,33.33,NA,26.86,47,175
"159","AR","05107",64.52,33.33,2.15,0,NA,NA,NA,NA,NA,26,93
"160","AR","05109",92.19,3.12,3.12,0,25.42,75,50,NA,28.12,36,128
"161","AR","05111",89.45,5.09,3.27,0.73,22.76,50,22.22,0,24,66,275
"162","AR","05113",91.81,0.43,6.47,0.43,19.72,0,26.67,0,19.83,46,232
"163","AR","05115",89.27,1.84,6.54,1.47,7.49,4,7.87,5,7.57,103,1361
"164","AR","05117",91.03,7.69,0,0,NA,NA,NA,NA,NA,28,78
"165","AR","05119",73.94,19.11,3.38,3,5.42,13.75,12.26,5.67,7.3,686,9401
"166","AR","05121",97.37,0.38,1.5,0,14.29,0,25,NA,15.04,40,266
"167","AR","05123",67.4,28.18,3.87,0,21.31,27.45,28.57,NA,23.2,42,181
"168","AR","05125",84.33,10.49,3.41,1.22,9.24,10.64,17.26,10,9.7,478,4927
"169","AR","05127",92.78,0,5.15,0,NA,NA,NA,NA,NA,32,97
"170","AR","05129",96.63,0,2.25,0,NA,NA,NA,NA,NA,25,89
"171","AR","05131",85.4,2.54,6.29,3.51,6.14,9.52,9.62,9.2,6.49,161,2480
"172","AR","05133",70.16,4.44,21.37,0,18.39,18.18,15.09,NA,18.15,45,248
"173","AR","05135",97.03,0.85,1.69,0.42,20.09,50,50,0,20.76,49,236
"174","AR","05137",95.03,1.66,2.21,0,22.09,33.33,25,NA,22.65,41,181
"175","AR","05139",77.09,17.06,4.89,0.48,16.41,40.56,7.32,25,20.17,169,838
"176","AR","05141",93.98,0.38,3.38,0.38,22.8,100,55.56,0,24.44,65,266
"177","AR","05143",84.65,1.97,8.97,2.74,5.73,4.76,9.6,4.57,6.14,392,6386
"178","AR","05145",94.88,1.89,2.06,0.78,18.18,29.41,29.73,7.14,18.48,332,1797
"179","AR","05147",92.16,5.88,1.96,0,NA,NA,NA,NA,NA,14,51
"180","AR","05149",89.49,1.09,6.88,1.09,19.43,33.33,21.05,66.67,20.29,56,276
"181","AR","22111",0,100,0,0,NA,NA,NA,NA,NA,0,1
"182","AR","39167",0,0,100,0,NA,NA,NA,NA,NA,1,1
"183","AR","48085",0,100,0,0,NA,NA,NA,NA,NA,0,1
"184","AR",NA,81.1,12.07,4.75,0.5,61.6,69.66,75.44,50,63.28,760,1201
"185","AZ","04001",52.4,0.33,7.27,0.17,16.72,50,18.18,0,34.21,207,605
"186","AZ","04003",76.66,4.25,16.35,1.64,7.21,5.59,9.82,3.64,7.58,255,3363
"187","AZ","04005",80.15,0.8,10.49,2.62,6.84,11.11,12.22,4.55,8.82,296,3355
"188","AZ","04007",87.91,0.78,8.95,0.31,7.5,20,9.65,0,8.24,105,1274
"189","AZ","04009",68.94,0.7,27.15,0.4,7.7,0,9.96,0,8.72,87,998
"190","AZ","04011",65.98,0,28.87,1.03,NA,NA,NA,NA,NA,16,97
"191","AZ","04012",75,0,20.45,1.14,12.88,NA,16.67,0,13.64,24,176
"192","AZ","04013",69.99,4.31,19.38,5.19,5.91,11.53,9.26,6.99,6.89,11558,167667
"193","AZ","04015",86.55,0.94,9.82,1.27,9.74,10.71,12.78,9.21,10.14,606,5978
"194","AZ","04017",82.14,0.79,8.28,1.19,7.61,18.75,13.17,12.5,10.66,215,2016
"195","AZ","04019",67.83,3.15,24.76,3.19,5.42,10.1,8.61,6.55,6.47,2133,32972
"196","AZ","04021",70.46,6.38,20.04,1.53,7.48,14.39,10.48,8.8,8.57,1905,22225
"197","AZ","04023",38.81,0.69,58.43,1.24,7.47,0,5.44,0,6.08,44,724
"198","AZ","04025",89.68,0.57,7.72,1.08,7.31,10.42,10.37,10,7.59,635,8364
"199","AZ","04027",46.46,2.02,49.33,1.42,5.28,4.9,6.21,6.94,5.74,290,5056
"200","AZ","05063",100,0,0,0,NA,NA,NA,NA,NA,1,1
"201","AZ","08005",100,0,0,0,NA,NA,NA,NA,NA,0,1
"202","AZ","13319",0,0,0,0,NA,NA,NA,NA,NA,1,1
"203","AZ","37183",100,0,0,0,NA,NA,NA,NA,NA,0,1
"204","AZ","39035",0,100,0,0,NA,NA,NA,NA,NA,0,1
"205","AZ","40125",0,0,100,0,NA,NA,NA,NA,NA,1,1
"206","AZ","41005",100,0,0,0,NA,NA,NA,NA,NA,0,1
"207","AZ","42077",0,0,0,0,NA,NA,NA,NA,NA,1,1
"208","AZ","47161",100,0,0,0,NA,NA,NA,NA,NA,0,1
"209","AZ","51015",0,0,0,0,NA,NA,NA,NA,NA,0,1
"210","AZ",NA,60.43,4.15,23.83,3.4,50,53.85,58.04,31.25,54.47,512,940
"211","CA","06001",28.99,4.5,11.73,53.81,5.97,12.38,13.04,8.28,8.4,2219,26403
"212","CA","06003",91.67,0,8.33,0,NA,NA,NA,NA,NA,3,24
"213","CA","06005",87.21,0.79,8.79,1.79,7.7,9.09,13.01,8,8.21,115,1400
"214","CA","06007",83.37,1.11,10.07,3.55,5.42,8.2,8.32,8.72,5.94,326,5491
"215","CA","06009",81.05,1.26,13.64,2.68,7.89,4.55,12.13,12.77,8.68,152,1752
"216","CA","06011",49.51,1.22,47.07,1.22,7.39,0,6.22,20,7.07,29,410
"217","CA","06013",44.09,8.14,21.9,24.77,6.15,12.24,10.75,7.36,8.06,2126,26392
"218","CA","06015",79.35,0.22,11.52,3.26,7.95,0,20.75,20,10.87,50,460
"219","CA","06017",84.3,0.93,7.62,5.71,6.84,7.69,9.98,9.05,7.32,510,6967
"220","CA","06019",42.65,3.37,39.53,13.6,6.06,11.11,8.24,8.01,7.43,1550,20852
"221","CA","06021",64.95,0.62,31.96,1.86,6.67,33.33,4.52,0,5.98,29,485
"222","CA","06023",85.6,0.97,7.49,2.9,7.79,20,5.81,5,7.73,160,2070
"223","CA","06025",14.66,1.38,82.79,0.99,7.95,12.82,10.2,17.86,10,283,2830
"224","CA","06027",79.48,0.87,14.45,2.02,8,0,24,14.29,10.98,38,346
"225","CA","06029",47.98,3.86,40.94,6.44,5.85,9.55,7.31,6.68,6.65,1423,21404
"226","CA","06031",49.95,4.21,39.95,4.78,3.93,9.77,7.13,7.95,5.7,180,3159
"227","CA","06033",76.2,1.1,18.76,1.81,8.15,11.76,12.07,7.14,9.18,142,1546
"228","CA","06035",80.51,1.42,13.51,1.99,7.6,20,7.37,14.29,7.97,56,703
"229","CA","06037",40.11,6.36,33.58,19.32,8.28,15.47,12.49,8.71,10.25,12011,117163
"230","CA","06039",45.71,2.47,45.79,4.69,7.98,10.31,8.36,6.52,8.19,321,3920
"231","CA","06041",78.69,1.16,10.33,9.46,5.87,0,12.24,11.07,6.97,193,2769
"232","CA","06043",83.53,0.47,11.29,3.76,10.99,50,14.58,6.25,11.53,49,425
"233","CA","06045",74.24,0.87,20.43,1.99,10.06,36.36,11.67,0,10.65,134,1258
"234","CA","06047",30.68,3.03,57.16,8.39,7.39,11.62,8.52,9.49,8.38,547,6529
"235","CA","06049",88.98,0,6.78,0,9.52,NA,12.5,NA,10.17,12,118
"236","CA","06051",83.74,0,14.11,1.23,7.33,NA,15.22,0,8.59,28,326
"237","CA","06053",42.02,1.74,47.87,7.57,8.13,14.16,13.66,10.77,11.11,722,6499
"238","CA","06055",66.24,2,22.36,8.67,10.65,31.91,15.78,13.73,12.54,295,2352
"239","CA","06057",89.93,0.39,6.34,2.06,8.26,0,13.71,9.38,8.56,266,3109
"240","CA","06059",50.87,1.3,18.17,29.02,7.83,13.85,14.96,9.78,9.78,4931,50417
"241","CA","06061",75.34,2.03,10.03,11.34,6.11,13.18,6.72,9.92,6.79,1038,15286
"242","CA","06063",90.82,0.61,4.9,2.24,10.11,0,12.5,18.18,10.2,50,490
"243","CA","06065",44.46,7.22,39.5,7.69,8.3,13.72,11.63,11.16,10.26,7779,75842
"244","CA","06067",51.66,8.5,18.99,19.08,6.27,11.93,9.55,8.43,7.87,3533,44879
"245","CA","06069",37.19,1.83,51.85,7.95,6.81,8.51,9.92,5.88,8.38,215,2565
"246","CA","06071",34.29,6.41,46.88,11.56,8.07,13.02,10.29,10.72,9.77,5146,52686
"247","CA","06073",57.67,4.08,22.36,14.66,7.82,10.89,11.73,8.46,8.93,6392,71584
"248","CA","06075",41.46,1.34,5.9,50.76,4.86,12.5,11.03,8.76,7.32,349,4766
"249","CA","06077",32.55,7.59,33.12,25.35,6.72,13.71,10.09,10.43,9.35,2047,21897
"250","CA","06079",81.46,0.97,13.65,3.23,5.91,4.69,7.85,7.94,6.24,413,6623
"251","CA","06081",33.42,0.81,9.73,55.41,7.19,19.05,13.04,7.77,8.25,429,5203
"252","CA","06083",55.17,1.41,36.42,5.98,6.13,8.51,7.56,8,6.81,455,6686
"253","CA","06085",24.64,1.08,11.92,61.89,8.12,10.71,16.41,10.26,10.49,2171,20705
"254","CA","06087",75.99,0.71,17.16,5.39,6.35,8,15.46,9.95,8.18,290,3544
"255","CA","06089",87.71,0.77,6.13,2.75,5.86,12.2,10.43,4.11,6.17,328,5315
"256","CA","06091",97.01,0,0,0,NA,NA,NA,NA,NA,2,67
"257","CA","06093",88.08,0.4,6.89,1.85,5.11,0,11.54,14.29,6.09,46,755
"258","CA","06095",44.59,12.58,23.62,17.13,5.96,11.02,9.26,7.92,7.78,1061,13631
"259","CA","06097",74.05,1.15,17.69,6.03,7.39,10.91,16.01,9.19,9.08,869,9570
"260","CA","06099",46.8,3.3,41.91,6.73,5.63,11.98,9.25,9.72,7.69,1069,13902
"261","CA","06101",59.92,1.68,19.8,16.67,7.31,7.69,10.41,10.31,8.59,200,2328
"262","CA","06103",79.11,0.85,16.38,1.7,5.2,15.38,8.37,11.54,5.94,91,1532
"263","CA","06105",86.42,1.23,7.41,2.47,7.86,50,16.67,25,9.88,16,162
"264","CA","06107",42.03,1.26,51.89,4.02,5.26,7.21,6.38,6.48,5.97,527,8825
"265","CA","06109",88.35,0.2,7.36,2.11,6.71,0,14.81,12.9,7.83,115,1468
"266","CA","06111",59.72,2.11,28.69,8.69,6.98,9.07,10.73,7.99,8.22,1421,17287
"267","CA","06113",57.41,2.56,24.76,14.13,6.14,18.92,11.64,7.18,8.02,348,4337
"268","CA","06115",62.93,7.08,20.88,6.92,8,14.86,12.37,8.29,9.47,297,3137
"269","CA","13297",100,0,0,0,NA,NA,NA,NA,NA,1,1
"270","CA","32031",100,0,0,0,NA,NA,NA,NA,NA,0,1
"271","CA",NA,33.56,4.4,20.01,41.14,33.71,47.85,34.82,13.19,26.3,974,3704
"272","CO","01073",50,50,0,0,NA,NA,NA,NA,NA,0,2
"273","CO","06071",100,0,0,0,NA,NA,NA,NA,NA,0,1
"274","CO","06099",100,0,0,0,NA,NA,NA,NA,NA,0,1
"275","CO","08001",58.95,3.15,31.91,5.17,5.68,12.9,15.26,8.02,9.12,2265,24838
"276","CO","08003",66.45,1.97,30.26,0.66,11.88,0,8.7,0,11.18,17,152
"277","CO","08005",67.65,8.23,15.5,7.72,4.82,10.65,8.64,8.48,6.21,1717,27633
"278","CO","08007",90.16,0.4,6.43,0.8,10.02,0,12.5,75,10.64,53,498
"279","CO","08009",95.65,0,4.35,0,NA,NA,NA,NA,NA,7,23
"280","CO","08011",81.08,0,18.92,0,NA,NA,NA,NA,NA,8,37
"281","CO","08013",85.51,0.92,7.73,5.46,4.94,9.76,13.25,5.57,5.66,503,8883
"282","CO","08014",82.24,1.05,7.56,8.45,4.96,6.25,14.78,8.95,6.08,185,3041
"283","CO","08015",93.11,0.2,5.71,0.59,7.82,100,10.34,0,8.07,41,508
"284","CO","08017",83.33,0,16.67,0,NA,NA,NA,NA,NA,2,12
"285","CO","08019",96.89,0,2.39,0.48,8.15,NA,20,0,8.37,35,418
"286","CO","08021",52.94,0,47.06,0,NA,NA,NA,NA,NA,5,34
"287","CO","08023",62.5,6.25,25,3.12,NA,NA,NA,NA,NA,14,32
"288","CO","08025",82.93,2.44,12.2,0,NA,NA,NA,NA,NA,7,41
"289","CO","08027",91.35,0,5.95,0,11.83,NA,18.18,NA,12.97,24,185
"290","CO","08029",91.68,0,6.81,0.5,5.5,NA,5.56,0,5.55,44,793
"291","CO","08031",75.39,4.29,14.63,5.09,3.98,9.51,7.87,5.83,4.9,1239,25271
"292","CO","08033",90,0,2.5,5,NA,NA,NA,NA,NA,6,40
"293","CO","08035",83.89,1.61,6.83,6.92,5.31,11.11,7.79,6.43,5.65,1233,21807
"294","CO","08037",83.44,0.35,13.94,1.52,7.48,33.33,11.3,11.54,8.22,141,1715
"295","CO","08039",90.37,1.01,7.24,0.63,6.82,31.25,11.3,10,7.49,119,1589
"296","CO","08041",76.87,5.55,12.78,3.5,3.93,6.99,7.02,6.2,4.6,1698,36886
"297","CO","08043",91.57,1,5.98,0.46,9.54,7.69,17.95,0,10.04,131,1305
"298","CO","08045",76.52,0.21,21.85,0.71,7.52,20,14.12,5.88,8.97,215,2398
"299","CO","08047",91.07,0.36,6.07,1.79,7.06,0,0,0,6.43,18,280
"300","CO","08049",91.91,0.31,6.07,1.09,11.34,0,23.08,0,12.13,78,643
"301","CO","08051",95.36,0,2.51,1.16,8.32,NA,7.69,0,8.51,44,517
"302","CO","08053",91.67,0,4.17,0,NA,NA,NA,NA,NA,1,24
"303","CO","08055",85.23,0,12.75,0.67,14.96,NA,5.26,100,14.77,22,149
"304","CO","08057",85,0,15,0,NA,NA,NA,NA,NA,4,20
"305","CO","08059",86.82,0.81,8.24,3.48,3.92,7.61,7.14,6.94,4.38,998,22800
"306","CO","08061",89.47,0,10.53,0,NA,NA,NA,NA,NA,14,19
"307","CO","08063",94.19,1.16,2.33,0,NA,NA,NA,NA,NA,11,86
"308","CO","08065",88.94,0,10.18,0.44,6.97,NA,21.74,0,8.85,20,226
